Feature,Importance
wavelet-LLL_firstorder_RootMeanSquared,0.0020190418231162775
log-sigma-2-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.0019927844406064338
wavelet-LHH_glszm_LargeAreaEmphasis,0.0019873073108647985
squareroot_gldm_DependenceNonUniformity,0.0019832411199177166
wavelet-LHH_gldm_DependenceNonUniformity,0.0019732150534078315
wavelet-LLH_ngtdm_Complexity,0.0019609450341071632
wavelet-HHL_ngtdm_Contrast,0.0019572467820973276
wavelet-HHH_glszm_ZoneEntropy,0.0019554820903411522
wavelet-HHL_glcm_DifferenceVariance,0.0019484653923757893
original_glszm_SmallAreaHighGrayLevelEmphasis,0.0019226886790649775
original_glszm_SizeZoneNonUniformity,0.0019128719968847278
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,0.001893080153407541
wavelet-LLH_ngtdm_Contrast,0.0018829281132729959
lbp-3D-k_glszm_SmallAreaLowGrayLevelEmphasis,0.0018766891907115524
lbp-2D_gldm_SmallDependenceHighGrayLevelEmphasis,0.0018624113065855027
wavelet-HLL_glrlm_LongRunEmphasis,0.0018535405058039184
log-sigma-1-0-mm-3D_glrlm_RunEntropy,0.001837938941857577
lbp-3D-m2_firstorder_MeanAbsoluteDeviation,0.0018337513093830383
squareroot_glcm_ClusterShade,0.0018313158247575784
wavelet-LHH_gldm_SmallDependenceEmphasis,0.0018222572106454432
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.0017956319696762232
log-sigma-4-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.0017838122987383575
wavelet-HLH_glszm_SmallAreaHighGrayLevelEmphasis,0.0017801390655105705
log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.0017657044488717125
log-sigma-3-0-mm-3D_gldm_SmallDependenceEmphasis,0.0017620471525503954
gradient_glcm_Imc2,0.0017561948261889306
wavelet-LHH_ngtdm_Complexity,0.0017412409387581494
log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.0017298319938260144
lbp-3D-m1_gldm_LargeDependenceEmphasis,0.0017254235867381416
wavelet-LLH_glrlm_ShortRunEmphasis,0.0017238761909024914
gradient_ngtdm_Strength,0.0017226953249514915
wavelet-LHH_gldm_DependenceEntropy,0.001717561943955543
square_firstorder_Range,0.0017159723123711134
wavelet-LHL_glszm_ZoneVariance,0.0017004445452986764
wavelet-HLH_glcm_MCC,0.0016878324216989963
wavelet-LLH_ngtdm_Strength,0.001667986999890479
wavelet-HHH_gldm_LowGrayLevelEmphasis,0.0016507148285114345
log-sigma-4-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.0016497118501368647
log-sigma-3-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.001637105814024
